image_a,model_a,category_a,image_b,model_b,category_b,score,foreground_dice,gray_similarity,phash_distance,dhash_distance,horizontal_flip_used,grade,scoring_basis
evidence/mopar/expanded_adrs/illustrations/Challenger/seat-belts/assembly-02.png,Challenger,seat-belts,evidence/mopar/illustrations/2C3CDXGJ2HH530684/seat-belts__assembly-02.png,Charger,seat-belts,1.0,1.0,1.0,0,0,False,NEAR_IDENTICAL_IMAGE,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/expanded_adrs/illustrations/Challenger/seat-belts/assembly-01.png,Challenger,seat-belts,evidence/mopar/illustrations/2C3CDXGJ2HH530684/seat-belts__assembly-01.png,Charger,seat-belts,0.879145,0.840509,0.993532,10,4,False,STRONG_STRUCTURAL_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png,Chrysler 300,air-bags,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png,Charger,air-bags,0.853304,0.699183,0.98956,6,3,False,STRONG_STRUCTURAL_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-03.png,Chrysler 300,front-seat-adjusters,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-02.png,Charger,front-seat-adjusters,0.758966,0.581176,0.938074,10,13,False,MODERATE_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_R-T_Scat_Pack_6.4L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_SRT_392_6.4L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/door_variants/illustrations/Challenger_R-T_Scat_Pack_6.4L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/door_variants/illustrations/Challenger_R-T_Scat_Pack_6.4L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_R-T_Scat_Pack_6.4L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
evidence/mopar/door_variants/illustrations/Challenger_R-T_Scat_Pack_6.4L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_SRT_392_6.4L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used"
